,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
408,5,23.0,Riley Nash,4,32,9,C,2012-13,CAR
409,14,24.0,Riley Nash,10,73,24,C,2013-14,CAR
410,17,25.0,Riley Nash,8,68,25,C,2014-15,CAR
411,13,26.0,Riley Nash,9,64,22,C,2015-16,CAR
412,10,27.0,Riley Nash,7,81,17,C,2016-17,BOS
413,26,28.0,Riley Nash,15,76,41,C,2017-18,BOS
414,0,20.0,Riley Sheahan,0,1,0,C,2011-12,DET
415,0,21.0,Riley Sheahan,0,1,0,C,2012-13,DET
416,15,22.0,Riley Sheahan,9,42,24,C,2013-14,DET
417,23,23.0,Riley Sheahan,13,79,36,C,2014-15,DET
418,11,24.0,Riley Sheahan,14,81,25,C,2015-16,DET
419,11,25.0,Riley Sheahan,2,80,13,C,2016-17,DET
420,0,26.0,Riley Sheahan,0,8,0,C,2017-18,DET
421,0,23.0,Rob O'Gara,0,3,0,D,2016-17,BOS
422,0,24.0,Rob O'Gara,0,8,0,D,2017-18,BOS
423,4,21.0,Ryan Donato,5,12,9,C,2017-18,BOS
424,0,21.0,Sami Niku,1,1,1,D,2017-18,WPG
